0,81
0,111
0,223
0,87
1,264
1,473
1,75
2,64
2,454
3,440
3,342
4,415
5,352
5,368
5,329
5,80
5,123
5,125
6,149
7,101
7,9
7,458
7,107
7,431
7,85
7,310
7,378
7,61
7,341
8,88
8,393
8,114
8,364
9,33
9,163
9,275
9,315
9,94
11,424
11,126
12,104
12,280
12,45
13,25
13,141
13,126
13,166
14,193
14,295
14,265
15,34
15,43
15,245
15,447
16,241
16,209
16,279
16,24
16,441
16,284
16,312
17,128
17,168
17,300
17,189
17,348
18,73
18,339
18,148
19,41
19,258
19,188
19,289
19,199
20,160
20,27
20,411
21,67
21,361
21,23
21,176
21,117
21,55
21,157
21,491
22,160
22,354
22,411
22,482
22,55
23,389
23,309
23,214
23,375
23,216
23,346
23,63
23,255
24,378
24,491
24,294
24,455
25,199
25,488
25,425
25,496
25,50
25,279
26,363
26,374
27,340
27,194
27,492
27,183
28,265
28,453
28,213
28,221
29,122
29,195
29,422
29,206
29,39
30,312
30,403
31,464
31,76
32,480
32,49
32,382
33,152
33,289
33,233
34,129
34,449
34,330
34,496
34,147
34,277
34,218
34,446
35,273
35,163
35,353
35,468
35,263
36,323
36,175
37,201
37,211
38,293
39,97
39,203
39,71
39,363
39,478
40,50
40,220
40,458
40,279
41,494
41,109
41,446
41,461
42,169
42,426
42,347
42,108
42,481
43,267
43,209
43,135
44,283
44,51
44,231
44,261
44,55
45,460
45,408
45,345
45,93
45,478
46,65
46,323
47,440
47,484
47,405
47,102
48,131
48,423
48,240
48,117
48,442
48,123
48,125
49,367
51,321
51,390
51,358
51,423
52,470
52,102
52,159
53,83
53,365
53,78
53,54
53,211
54,288
54,389
54,328
54,402
54,274
55,451
55,231
55,309
55,441
56,476
56,155
56,252
58,460
59,272
59,138
59,203
59,443
60,363
60,81
60,99
60,437
60,305
61,463
61,100
61,429
62,480
62,218
62,83
62,358
63,217
63,354
63,119
64,458
64,391
64,137
64,362
64,175
64,87
64,74
65,312
65,211
65,381
65,467
66,211
66,196
67,450
67,457
67,109
67,81
67,265
68,181
68,246
68,351
69,436
69,459
69,404
69,454
69,327
70,104
70,408
71,200
71,241
71,142
72,273
72,490
72,293
72,345
72,309
73,329
73,236
73,130
73,453
74,101
74,205
74,112
